Section,Group,Treatment,mouse name,countable,CFU,volume plated (mL),CFU per Volume,dilution,Conc CFU per volume (mL)
1,A,Y,,yes,87,0.1,870,1.00E+05,8.70E+07
1,A,Y,,yes,45,0.1,450,1.00E+05,4.50E+07
1,A,Y,,yes,47,0.1,470,1.00E+05,4.70E+07
1,B,Y,,yes,52,0.1,520,1.00E+05,5.20E+07
1,B,Y,,yes,48,0.1,480,1.00E+05,4.80E+07
1,B,Y,,yes,40,0.1,400,1.00E+05,4.00E+07
1,C,Y,,yes,49,0.1,490,1.00E+05,4.90E+07
1,C,Y,,yes,50,0.1,500,1.00E+05,5.00E+07
1,C,Y,,yes,89,0.1,890,1.00E+05,8.90E+07
1,D,Y,,yes,53,0.1,530,1.00E+05,5.30E+07
1,D,Y,,yes,55,0.1,550,1.00E+05,5.50E+07
1,D,Y,,yes,37,0.1,370,1.00E+05,3.70E+07
1,E,Y,,yes,53,0.1,530,1.00E+05,5.30E+07
1,E,Y,,yes,87,0.1,870,1.00E+05,8.70E+07
1,E,Y,,yes,48,0.1,480,1.00E+05,4.80E+07
1,F,Y,,yes,32,0.1,320,1.00E+05,3.20E+07
1,F,Y,,yes,39,0.1,390,1.00E+05,3.90E+07
1,F,Y,,yes,86,0.1,860,1.00E+05,8.60E+07
1,G,Y,,yes,37,0.1,370,1.00E+05,3.70E+07
1,G,Y,,yes,58,0.1,580,1.00E+05,5.80E+07
1,G,Y,,yes,59,0.1,590,1.00E+05,5.90E+07
1,H,Y,,yes,34,0.1,340,1.00E+05,3.40E+07
1,H,Y,,yes,49,0.1,490,1.00E+05,4.90E+07
1,H,Y,,yes,89,0.1,890,1.00E+05,8.90E+07
1,I,Y,,yes,86,0.1,860,1.00E+05,8.60E+07
1,I,Y,,yes,88,0.1,880,1.00E+05,8.80E+07
1,I,Y,,yes,43,0.1,430,1.00E+05,4.30E+07
1,J,Y,,yes,58,0.1,580,1.00E+05,5.80E+07
1,J,Y,,yes,47,0.1,470,1.00E+05,4.70E+07
1,J,Y,,yes,59,0.1,590,1.00E+05,5.90E+07
2,A,Y,,yes,52,0.1,520,1.00E+05,5.20E+07
2,A,Y,,yes,57,0.1,570,1.00E+05,5.70E+07
2,A,Y,,yes,48,0.1,480,1.00E+05,4.80E+07
2,B,Y,,yes,38,0.1,380,1.00E+05,3.80E+07
2,B,Y,,yes,50,0.1,500,1.00E+05,5.00E+07
2,B,Y,,yes,81,0.1,810,1.00E+05,8.10E+07
2,C,Y,,yes,56,0.1,560,1.00E+05,5.60E+07
2,C,Y,,yes,39,0.1,390,1.00E+05,3.90E+07
2,C,Y,,yes,82,0.1,820,1.00E+05,8.20E+07
2,D,Y,,yes,90,0.1,900,1.00E+05,9.00E+07
2,D,Y,,yes,47,0.1,470,1.00E+05,4.70E+07
2,D,Y,,yes,70,0.1,700,1.00E+05,7.00E+07
2,E,Y,,yes,33,0.1,330,1.00E+05,3.30E+07
2,E,Y,,yes,51,0.1,510,1.00E+05,5.10E+07
2,E,Y,,yes,65,0.1,650,1.00E+05,6.50E+07
2,F,Y,,yes,58,0.1,580,1.00E+05,5.80E+07
2,F,Y,,yes,34,0.1,340,1.00E+05,3.40E+07
2,F,Y,,yes,80,0.1,800,1.00E+05,8.00E+07
2,G,Y,,yes,82,0.1,820,1.00E+05,8.20E+07
2,G,Y,,yes,74,0.1,740,1.00E+05,7.40E+07
2,G,Y,,yes,51,0.1,510,1.00E+05,5.10E+07
2,H,Y,,yes,36,0.1,360,1.00E+05,3.60E+07
2,H,Y,,yes,48,0.1,480,1.00E+05,4.80E+07
2,H,Y,,yes,70,0.1,700,1.00E+05,7.00E+07
2,I,Y,,yes,65,0.1,650,1.00E+05,6.50E+07
2,I,Y,,yes,34,0.1,340,1.00E+05,3.40E+07
